Fecha;id_Cliente;first_name;email;id_company;quantity;address;article;unit price
20/01/2022;Violet;Quimm;gpeat1d@bigcartel.com;81;762;42433 Talisman Park;Espinaca;5
25/12/2020;Crimson;Wikivu;dfuidge1e@freewebs.com;27;761;3 Lien Park;Acelga;7
08/07/2021;Violet;Abatz;glenchenko1f@amazonaws.com;24;731;51171 Sunfield Trail;Cereza;60
11/02/2022;Teal;Abatz;ahinckes1g@about.me;83;320;7217 Vermont Alley;Pomelo;84
21/12/2020;Mauv;Gigashots;hlouisot1h@istockphoto.com;94;760;19 Walton Street;Limon;12
22/11/2021;Khaki;Vitz;jemmott1i@upenn.edu;10;764;25120 Randy Park; Manzana;35
03/03/2022;Green;Innotype;fdisman1j@wikimedia.org;6;193;414 John Wall Street; Banana;10
04/10/2021;Puce;Eire;hodoherty1k@google.com.au;76;355;0 Leroy Court; Pera;25
31/07/2021;Pink;Gabtype;ekempshall1l@phoca.cz;55;590;8038 School Hill; Sandia;51
10/08/2021;Turquoise;Fivechat;hdenton1m@gov.uk;89;150;5 Elmside Point;Espinaca;5
06/01/2022;Crimson;Devbug;phatherley1n@blinklist.com;66;433;3 Ridge Oak Parkway;Acelga;7
23/02/2021;Maroon;Browsetype;mtibb1o@bluehost.com;50;149;998 Summit Trail;Cereza;60
02/03/2021;Fuscia;Jabbersphere;dmistry1p@yahoo.com;45;504;8 Forster Court;Pomelo;84
12/11/2021;Goldenrod;Quimm;afellowes1q@uol.com.br;18;108;2 Old Shore Lane;Limon;12
08/11/2020;Indigo;Wikivu;cturneaux1r@shareasale.com;97;952;10497 Brickson Park Park; Manzana;35
05/02/2021;Mauv;Abatz;lbunny1s@google.ca;74;167;0634 Anzinger Drive; Banana;10
23/05/2021;Pink;Abatz;tteggart1t@about.com;85;245;3404 Glendale Hill; Pera;25
17/12/2021;Green;Gigashots;rdelaci1u@google.com.hk;58;348;7 Fairview Point; Sandia;51
21/11/2021;Turquoise;Vitz;bvedekhin1v@accuweather.com;25;98;65 Pond Circle;Espinaca;5
27/09/2020;Orange;Innotype;ccankett1w@flickr.com;35;883;4 Northland Crossing;Acelga;7
12/10/2020;Indigo;Eire;pfetherstone1x@eepurl.com;62;355;20 Alpine Parkway;Cereza;60
17/03/2021;Fuscia;Gabtype;dgorick1y@ucsd.edu;23;707;0 Sundown Center;Pomelo;84
15/09/2021;Maroon;Fivechat;lschimon1z@washingtonpost.com;14;6;3 Lerdahl Lane;Limon;12
26/09/2020;Maroon;Devbug;ftallis20@123-reg.co.uk;78;124;9930 Delladonna Alley; Manzana;35
05/01/2022;Green;Browsetype;bedmands21@columbia.edu;99;237;687 Chinook Pass; Banana;10
07/02/2022;Pink;Jabbersphere;ksimonetto22@ft.com;20;347;4 School Alley; Pera;25
15/04/2021;Fuscia;Quimm;alangcastle23@ihg.com;14;176;872 Pawling Crossing; Sandia;51
17/02/2021;Pink;Wikivu;aheineken24@va.gov;11;778;5 Quincy Street;Espinaca;5
02/11/2020;Green;Abatz;ssimoneschi25@foxnews.com;70;662;27 Waubesa Crossing;Acelga;7
11/12/2021;Orange;Abatz;galthorp26@amazon.co.uk;28;116;0949 Clemons Point;Cereza;60
31/05/2021;Goldenrod;Gigashots;sdavenell27@cyberchimps.com;19;317;7728 Crowley Court;Pomelo;84
13/11/2020;Aquamarine;Vitz;gpays28@bloomberg.com;45;412;245 Bartillon Alley;Limon;12
24/08/2021;Red;Innotype;cgon29@bloomberg.com;68;571;48 Mayfield Hill; Manzana;35
09/02/2021;Red;Eire;pgerhartz2a@businessweek.com;6;266;0 Springs Park; Banana;10
03/12/2021;Indigo;Gabtype;dbleackley2b@infoseek.co.jp;95;331;70 Harper Place; Pera;25
07/05/2021;Khaki;Fivechat;farnald2c@virginia.edu;59;455;473 Annamark Parkway; Sandia;51
07/03/2022;Khaki;Devbug;dcallear2d@goo.ne.jp;45;605;85646 Gerald Alley;Espinaca;5
30/06/2021;Fuscia;Browsetype;acalender2e@buzzfeed.com;68;582;4145 Merrick Crossing;Acelga;7
29/07/2021;Crimson;Jabbersphere;sgerardin2f@g.co;18;810;84938 Hanover Circle;Cereza;60
18/01/2022;Purple;Quimm;lvance2g@google.nl;81;976;7143 Havey Way;Pomelo;84
18/05/2021;Red;Wikivu;hgrzegorek2h@abc.net.au;53;681;011 Stang Drive;Limon;12
04/05/2021;Goldenrod;Abatz;gkorf2i@loc.gov;75;609;953 Huxley Circle; Manzana;35
09/11/2021;Purple;Abatz;mdows2j@clickbank.net;64;401;45647 Vermont Park; Banana;10
29/10/2021;Puce;Gigashots;cjanu2k@trellian.com;69;932;0583 Huxley Plaza; Pera;25
22/01/2022;Maroon;Vitz;mpankettman2l@ocn.ne.jp;94;204;9 Anzinger Pass; Sandia;51
07/10/2021;Goldenrod;Innotype;ghallahan2m@npr.org;35;404;345 Ramsey Place;Espinaca;5
10/02/2022;Red;Eire;cfenning2n@google.com.hk;3;246;62018 8th Way;Acelga;7
24/07/2021;Green;Gabtype;kosheils2o@taobao.com;83;81;112 Claremont Alley;Cereza;60
30/03/2022;Puce;Fivechat;mmatresse2p@creativecommons.org;1;9;7222 Northland Parkway;Pomelo;84
09/03/2021;Purple;Devbug;kpheasant2q@freewebs.com;14;938;2 Becker Alley;Limon;12
10/03/2021;Red;Browsetype;dbrosius2r@trellian.com;53;621;72757 Bobwhite Hill; Manzana;35
07/01/2022;Teal;Jabbersphere;jbredgeland2s@geocities.com;8;675;459 Oxford Drive; Banana;10
02/01/2022;Pink;Quimm;ssambell2t@dmoz.org;85;368;05 Duke Alley; Pera;25
19/08/2021;Pink;Wikivu;epahlsson2u@friendfeed.com;53;982;7353 New Castle Parkway; Sandia;51
26/09/2020;Crimson;Realmix;kmacgowan2v@skyrock.com;27;903;73 Mendota Street;Espinaca;5
11/11/2020;Orange;Abatz;dkops2w@infoseek.co.jp;60;418;08113 Buena Vista Park;Acelga;7
12/06/2021;Orange;Abatz;arapo2x@wunderground.com;10;631;5559 La Follette Trail;Cereza;60
14/03/2022;Puce;Gigashots;mhowsan2y@sfgate.com;33;262;97 Saint Paul Crossing;Pomelo;84
07/11/2020;Teal;Vitz;kcordelet2z@timesonline.co.uk;10;743;333 Emmet Place;Limon;12
28/10/2021;Crimson;Innotype;lweedenburg30@wired.com;91;668;281 Twin Pines Circle; Manzana;35
14/01/2021;Turquoise;Eire;fhulks31@dailymotion.com;54;151;64 Memorial Point; Banana;10
26/02/2021;Indigo;Gabtype;emayling32@disqus.com;14;882;33303 Ryan Terrace; Pera;25
22/12/2020;Aquamarine;Fivechat;welintune33@nps.gov;12;530;49 Sutteridge Road; Sandia;51
12/07/2021;Green;Devbug;dgarrique34@boston.com;88;733;38 Manley Place;Espinaca;5
13/01/2022;Puce;Browsetype;aillingworth35@utexas.edu;22;204;0 Myrtle Trail;Acelga;7
23/08/2021;Green;Jabbersphere;jmiddlewick36@wunderground.com;1;263;1398 Sundown Parkway;Cereza;60
13/01/2022;Aquamarine;Quimm;dramplee37@sogou.com;57;856;2983 Debs Street;Pomelo;84
28/01/2021;Teal;Wikivu;jchamberlain38@cdbaby.com;32;892;057 Corscot Plaza;Limon;12
12/01/2022;Pink;Flashdog;cleggatt39@constantcontact.com;69;159;02 Swallow Road; Manzana;35
19/05/2021;Aquamarine;Feedbug;medgerley3a@msu.edu;53;39;6139 Arapahoe Alley; Banana;10
21/08/2021;Pink;Abatz;mtouhig3b@mysql.com;4;353;60530 Westridge Drive; Pera;25
14/11/2020;Maroon;Abatz;rvanhalle3c@cdc.gov;64;905;3 Melby Way; Sandia;51
11/02/2021;Puce;Gigashots;kcronshaw3d@dot.gov;86;568;660 Washington Crossing;Espinaca;5
21/10/2020;Turquoise;Vitz;flawday3e@123-reg.co.uk;27;709;08798 Pierstorff Place;Acelga;7
20/10/2020;Red;Innotype;eabrahamian3f@goo.ne.jp;49;604;2650 Nevada Lane;Cereza;60
02/02/2021;Yellow;Eire;nterney3g@oracle.com;22;956;24529 Melrose Alley;Pomelo;84
30/09/2020;Indigo;Gabtype;gfoggo3h@economist.com;68;851;6 Magdeline Drive;Limon;12
17/09/2021;Red;Fivechat;pcartmel3i@utexas.edu;29;849;788 Rowland Crossing; Manzana;35
11/10/2021;Fuscia;Devbug;aburde3j@scientificamerican.com;19;329;8129 Grasskamp Center; Banana;10
05/11/2020;Aquamarine;Browsetype;jmelendez3k@wsj.com;13;707;50 Lien Pass; Pera;25
07/11/2021;Fuscia;Jabbersphere;jsexon3l@miitbeian.gov.cn;41;521;897 Sage Point; Sandia;51
09/10/2020;Fuscia;Quimm;bsaturley3m@vk.com;81;822;6 Sommers Terrace;Espinaca;5
04/06/2021;Fuscia;Wikivu;dcopper3n@is.gd;30;325;2286 Hudson Court;Acelga;7
27/12/2021;Blue;Oyoloo;vingleby3o@devhub.com;87;49;852 Kings Crossing;Cereza;60
30/04/2021;Indigo;Meeveo;asinfield3p@photobucket.com;68;101;64 Bartelt Junction;Pomelo;84
21/12/2020;Blue;Abatz;lbullivent3q@indiatimes.com;96;832;874 Nevada Drive;Limon;12
17/01/2022;Crimson;Abatz;djosefsen3r@irs.gov;75;697;8 Northwestern Drive; Manzana;35
03/11/2021;Purple;Gigashots;mbarham3s@netscape.com;52;728;7376 Holy Cross Center; Banana;10
09/12/2020;Green;Vitz;fbattista3t@buzzfeed.com;32;112;1 Rowland Center; Pera;25
23/11/2020;Orange;Innotype;byeell3u@bloglines.com;38;247;8521 Pawling Point; Sandia;51
14/12/2020;Teal;Abatz;tflaherty3v@typepad.com;99;796;164 Magdeline Parkway;Espinaca;5
08/01/2022;Mauv;Abatz;mchristall3w@dot.gov;54;144;0944 New Castle Drive;Acelga;7
16/12/2021;Puce;Gigashots;wcancelier3x@themeforest.net;87;18;71907 Trailsway Trail;Cereza;60
24/03/2021;Khaki;Vitz;adeclercq3y@quantcast.com;80;971;635 Melrose Trail;Pomelo;84
20/04/2021;Khaki;Innotype;asambles3z@wiley.com;38;954;13 Sunnyside Lane;Limon;12
21/03/2022;Aquamarine;Eire;rbakey40@youtu.be;1;694;812 Chive Crossing; Manzana;35
12/03/2021;Yellow;Gabtype;nleather41@jugem.jp;72;80;5 Westend Place; Banana;10
06/08/2021;Crimson;Fivechat;apenberthy42@stumbleupon.com;25;643;7029 Ridgeview Way; Pera;25
17/07/2021;Pink;Devbug;delven43@house.gov;13;195;769 Dunning Park; Sandia;51
10/01/2022;Puce;Browsetype;jdowderswell44@berkeley.edu;83;791;79454 John Wall Court;Espinaca;5
15/09/2021;Teal;Jabbersphere;mceney45@sphinn.com;18;985;0332 Badeau Center;Acelga;7
07/01/2021;Indigo;Quimm;rflann46@bbc.co.uk;22;111;045 Mcguire Circle;Cereza;60
10/01/2022;Orange;Wikivu;mmarquet47@w3.org;1;839;610 Sunbrook Way;Pomelo;84
18/12/2021;Mauv;Vitz;pvonwelldun48@psu.edu;72;141;72280 Summer Ridge Crossing;Limon;12
09/11/2020;Aquamarine;Innotype;stelega49@homestead.com;62;519;3 Parkside Place; Manzana;35
11/12/2020;Aquamarine;Eire;agullen4a@webs.com;82;205;5 Garrison Avenue; Banana;10
13/10/2021;Pink;Gabtype;sbeszant4b@woothemes.com;27;531;522 Little Fleur Plaza; Pera;25
28/04/2021;Maroon;Fivechat;cgiraldez4c@fastcompany.com;82;720;39037 Meadow Vale Drive; Sandia;51
18/08/2021;Purple;Devbug;jkempstone4d@icq.com;35;217;6472 Leroy Park;Espinaca;5
22/08/2021;Crimson;Browsetype;bkimbrough4e@uiuc.edu;2;250;8 Moulton Crossing;Acelga;7
18/10/2021;Goldenrod;Jabbersphere;sfiske4f@deliciousdays.com;25;30;7 Almo Trail;Cereza;60
29/01/2021;Mauv;Quimm;lkick4g@wufoo.com;47;523;43261 Anzinger Court;Pomelo;84
17/01/2022;Goldenrod;Wikivu;cbiggadyke4h@mashable.com;55;954;12 Glendale Way;Limon;12
14/10/2020;Turquoise;Thoughtworks;abraizier4i@ucla.edu;2;727;2434 Anthes Junction; Manzana;35
11/12/2021;Orange;Tekfly;gbeaument4j@hexun.com;32;179;64026 Anzinger Circle; Banana;10
30/10/2021;Khaki;Abatz;fneesham4k@weibo.com;66;797;941 Tomscot Junction; Pera;25
22/02/2022;Blue;Abatz;abyng4l@geocities.com;91;506;527 Morningstar Drive; Sandia;51
17/04/2021;Yellow;Gigashots;pfanthom4m@theglobeandmail.com;33;260;4484 Weeping Birch Center;Espinaca;5
27/05/2021;Blue;Vitz;rpoppy4n@fda.gov;39;995;20777 Blaine Trail;Acelga;7
20/05/2021;Khaki;Innotype;cbarbrick4o@uiuc.edu;80;528;97 Melody Point;Cereza;60
26/09/2021;Pink;Eire;aswire4p@businessinsider.com;18;348;52416 Brickson Park Point;Pomelo;84
23/01/2021;Fuscia;Gabtype;kmacgowan4q@bluehost.com;84;445;0780 Pawling Street;Limon;12
11/01/2022;Crimson;Fivechat;bberdale4r@usgs.gov;79;804;82 Magdeline Pass; Manzana;35
18/12/2020;Red;Devbug;ggambie4s@drupal.org;4;428;0 Gina Street; Banana;10
17/11/2021;Puce;Browsetype;frenon4t@mapy.cz;38;245;9 Huxley Way; Pera;25
23/03/2022;Pink;Jabbersphere;dcolledge4u@google.co.jp;60;373;93 Schmedeman Drive; Sandia;51
09/11/2020;Maroon;Quimm;drashleigh4v@webnode.com;40;624;4830 Laurel Alley;Espinaca;5
17/03/2021;Fuscia;Wikivu;apeinton4w@dagondesign.com;6;209;58428 Mallard Place;Acelga;7
14/08/2021;Violet;Devbug;hciani4x@ftc.gov;74;339;12955 Schurz Terrace;Cereza;60
05/05/2021;Red;Abatz;ppengelly4y@jugem.jp;85;440;1750 Toban Crossing;Pomelo;84
22/01/2022;Purple;Abatz;kvaneeden4z@cnbc.com;83;803;400 Bayside Place;Limon;12
15/12/2020;Aquamarine;Gigashots;methelstone50@foxnews.com;98;213;1 Anhalt Junction; Manzana;35
05/01/2021;Purple;Vitz;nkrimmer51@elpais.com;65;452;18 Caliangt Pass; Banana;10
28/03/2021;Purple;Innotype;kdreakin52@archive.org;38;957;18005 Mesta Place; Pera;25
03/02/2021;Indigo;Eire;ktwinterman53@amazon.co.uk;89;113;830 Helena Place; Sandia;51
10/05/2021;Goldenrod;Gabtype;cmorby54@state.gov;55;687;653 Tennyson Alley;Espinaca;5
05/06/2021;Yellow;Fivechat;akrahl55@adobe.com;26;83;6903 Crownhardt Lane;Acelga;7
15/12/2021;Maroon;Devbug;afanthom56@nasa.gov;60;821;1 Stang Place;Cereza;60
12/09/2021;Khaki;Browsetype;cnelthropp57@1688.com;25;112;1 Schurz Point;Pomelo;84
09/12/2020;Red;Jabbersphere;lgoghin58@tmall.com;14;121;3251 Victoria Court;Limon;12
25/10/2020;Indigo;Quimm;abraden59@alibaba.com;72;911;57277 Kings Way; Manzana;35
14/11/2021;Turquoise;Wikivu;ebowdery5a@mail.ru;75;353;64 Gateway Court; Banana;10
16/09/2021;Green;Abatz;cclements5b@purevolume.com;37;200;891 Bultman Alley; Pera;25
06/07/2021;Red;Abatz;slatehouse5c@skyrock.com;50;980;8 Declaration Way; Sandia;51
01/09/2021;Yellow;Gigashots;adanforth5d@storify.com;30;417;8 Luster Court;Espinaca;5
29/09/2021;Orange;Vitz;bamsden5e@washingtonpost.com;68;779;677 Daystar Point;Acelga;7
15/05/2021;Aquamarine;Innotype;gmerwede5f@oracle.com;28;670;0 Nova Crossing;Cereza;60
04/03/2021;Goldenrod;Eire;lshovelin5g@wikipedia.org;14;525;020 Randy Park;Pomelo;84
14/11/2020;Maroon;Gabtype;lpietruszewicz5h@pbs.org;82;496;7 Waubesa Lane;Limon;12
03/10/2020;Aquamarine;Fivechat;cbemlott5i@nyu.edu;93;71;435 Jenna Center; Manzana;35
30/08/2021;Khaki;Devbug;dburford5j@indiatimes.com;46;781;13899 Armistice Street; Banana;10
23/11/2021;Orange;Browsetype;ijoberne5k@theatlantic.com;5;780;582 Anhalt Point; Pera;25
19/01/2021;Indigo;Jabbersphere;otomkins5l@vkontakte.ru;2;538;3 School Trail; Sandia;51
19/01/2021;Violet;Quimm;caddis5m@bbc.co.uk;7;419;6 Anzinger Lane;Espinaca;5
11/05/2021;Green;Wikivu;hseville5n@pbs.org;48;468;2 Union Crossing;Acelga;7
18/06/2021;Violet;Abatz;mstainer5o@mayoclinic.com;37;38;9 Summit Drive;Cereza;60
24/10/2020;Indigo;Abatz;flemary5p@jimdo.com;32;831;4909 Lillian Lane;Pomelo;84
20/02/2021;Teal;Gigashots;tshenley5q@cbsnews.com;58;721;45 Raven Avenue;Limon;12
26/06/2021;Orange;Vitz;kmargach5r@webeden.co.uk;12;251;471 Eagle Crest Street; Manzana;35
29/01/2021;Yellow;Innotype;smighele5s@google.ca;42;842;60 Briar Crest Alley; Banana;10
02/11/2020;Mauv;Eire;bsemken5t@sourceforge.net;79;363;54 Pankratz Crossing; Pera;25
28/11/2020;Maroon;Gabtype;fghilardi5u@answers.com;14;624;932 Manufacturers Crossing; Sandia;51
06/06/2021;Teal;Fivechat;gmafham5v@cbslocal.com;97;323;1 Meadow Valley Parkway;Espinaca;5
20/02/2022;Blue;Devbug;hpashen5w@oaic.gov.au;27;497;6 Goodland Circle;Acelga;7
30/03/2021;Crimson;Browsetype;vpaulin5x@amazonaws.com;78;885;16 Graedel Crossing;Cereza;60
02/08/2021;Aquamarine;Jabbersphere;rorrin5y@naver.com;68;75;29313 Kinsman Place;Pomelo;84
08/11/2020;Yellow;Quimm;bnoddle5z@telegraph.co.uk;20;284;650 Forest Dale Park;Limon;12
06/11/2021;Blue;Wikivu;ngundrey60@csmonitor.com;24;944;27 Village Way; Manzana;35
30/11/2021;Orange;Abatz;zbruun61@irs.gov;65;7;71 Stephen Hill; Banana;10
15/08/2021;Orange;Abatz;qebbens62@stanford.edu;74;718;63 Buena Vista Center; Pera;25
06/06/2021;Maroon;Gigashots;labelov63@columbia.edu;8;872;0720 Buhler Alley; Sandia;51
17/01/2022;Khaki;Vitz;jalkin64@g.co;92;742;72780 Gateway Parkway;Espinaca;5
27/01/2021;Mauv;Innotype;grosle65@gnu.org;22;491;41965 Eliot Road;Acelga;7
13/09/2021;Mauv;Eire;ctimson66@answers.com;95;925;86 Sloan Lane;Cereza;60
06/09/2021;Red;Gabtype;teyckel67@github.io;21;347;7609 Green Ridge Center;Pomelo;84
29/11/2020;Purple;Fivechat;kdefreitas68@simplemachines.org;49;412;43 Brickson Park Way;Limon;12
26/02/2022;Puce;Devbug;msalzberger69@51.la;90;704;44 Logan Park; Manzana;35
03/06/2021;Red;Browsetype;wdentith6a@indiatimes.com;40;602;14154 Warner Terrace; Banana;10
13/10/2020;Puce;Jabbersphere;sgooding6b@bandcamp.com;74;216;5642 High Crossing Road; Pera;25
12/06/2021;Maroon;Quimm;acuttings6c@google.fr;28;456;196 Jenna Trail; Sandia;51
06/11/2021;Pink;Wikivu;cshower6d@bloglovin.com;1;253;4339 Summer Ridge Junction;Espinaca;5
28/02/2021;Fuscia;Omba;adennes6e@ezinearticles.com;45;260;6 Nelson Center;Acelga;7
08/09/2021;Pink;Abatz;yspenclay6f@archive.org;98;882;92751 Nobel Street;Cereza;60
05/03/2022;Green;Abatz;tgurery6g@nydailynews.com;55;370;704 Killdeer Center;Pomelo;84
21/01/2022;Maroon;Gigashots;mwassell6h@washington.edu;21;543;55823 Sutherland Plaza;Limon;12
23/05/2021;Turquoise;Vitz;htheodore6i@reuters.com;53;217;9 Dryden Junction; Manzana;35
10/05/2021;Blue;Innotype;ssteptow6j@pagesperso-orange.fr;16;381;7416 Hudson Crossing; Banana;10
31/12/2020;Pink;Eire;nchidley6k@google.co.jp;9;10;83810 Summerview Place; Pera;25
23/04/2021;Turquoise;Gabtype;thauxley6l@i2i.jp;27;867;8 Fairview Alley; Sandia;51
20/12/2020;Maroon;Fivechat;khalksworth6m@house.gov;11;27;841 Butternut Circle;Espinaca;5
18/03/2021;Mauv;Devbug;bthorndale6n@msn.com;81;229;1272 Fieldstone Alley;Acelga;7
23/11/2021;Pink;Browsetype;rgullan6o@creativecommons.org;35;622;289 International Court;Cereza;60
06/12/2021;Crimson;Jabbersphere;cjansie6p@blogs.com;97;758;997 Miller Lane;Pomelo;84
16/07/2021;Aquamarine;Quimm;sstryde6q@google.it;37;857;3976 3rd Pass;Limon;12
04/03/2022;Green;Wikivu;aaldie6r@cbc.ca;20;631;33 Lake View Lane; Manzana;35
20/03/2021;Mauv;Abatz;acusted6s@unc.edu;86;723;046 Buhler Parkway; Banana;10
06/10/2021;Mauv;Abatz;aponten6t@noaa.gov;80;159;5446 Schlimgen Crossing; Pera;25
13/04/2021;Turquoise;Gigashots;dpetherick6u@friendfeed.com;16;257;8084 Glacier Hill Way; Sandia;51
05/01/2021;Red;Vitz;elogsdail6v@tuttocitta.it;92;662;25 Commercial Lane;Espinaca;5
19/10/2020;Crimson;Innotype;jferandez6w@vkontakte.ru;94;379;8 Basil Place;Acelga;7
21/02/2021;Violet;Eire;emcgerraghty6x@mapquest.com;25;118;46001 Bartillon Point;Cereza;60
04/08/2021;Pink;Gabtype;wmcgrady6y@intel.com;13;899;21055 Dunning Crossing;Pomelo;84
12/11/2021;Yellow;Fivechat;rpoulston6z@paginegialle.it;58;529;40 Michigan Crossing;Limon;12
02/03/2021;Blue;Devbug;scolleran70@ted.com;51;411;8321 Sachs Way; Manzana;35
04/05/2021;Indigo;Browsetype;tjewkes71@si.edu;72;856;790 Tony Lane; Banana;10
04/02/2022;Yellow;Jabbersphere;mlatchford72@engadget.com;41;956;69208 Moland Court; Pera;25
22/11/2021;Goldenrod;Quimm;lgreenier73@facebook.com;5;945;003 Menomonie Lane; Sandia;51
05/07/2021;Violet;Wikivu;bgraver74@tinypic.com;62;795;23 Roth Road;Espinaca;5
05/05/2021;Green;Abatz;dtellenbach75@wordpress.com;19;111;338 Buhler Hill;Acelga;7
29/12/2020;Violet;Abatz;olawful76@squidoo.com;89;853;34 Dovetail Hill;Cereza;60
25/03/2022;Purple;Gigashots;ahabbijam77@arstechnica.com;71;350;4344 Longview Trail;Pomelo;84
13/08/2021;Turquoise;Vitz;gclail78@oracle.com;41;812;41 Merrick Alley;Limon;12
23/03/2021;Mauv;Innotype;mleney79@chicagotribune.com;31;343;2 Miller Street; Manzana;35
22/11/2020;Maroon;Eire;ccortin7a@nymag.com;29;847;2 Darwin Circle; Banana;10
13/01/2022;Goldenrod;Gabtype;dcardiff7b@yolasite.com;1;127;5977 Jackson Court; Pera;25
